,cik_str,ticker,Company
530,906163,NVR,Nvr Inc
531,1096343,MKL,Markel Group Inc.
532,46619,HEI,Heico Corp
533,1758730,TW,Tradeweb Markets Inc.
534,1666175,FTS,Fortis Inc.
535,1677250,ZTO,Zto Express (Cayman) Inc.
536,29905,DOV,Dover Corp
537,313216,PHG,Koninklijke Philips Nv
538,728535,JBHT,Hunt J B Transport Services Inc
539,10456,BAX,Baxter International Inc
540,815097,CCL,Carnival Corp
541,4281,HWM,Howmet Aerospace Inc.
542,798941,FCNCA,First Citizens Bancshares Inc /De/
543,1323404,WPM,Wheaton Precious Metals Corp.
544,1805284,RKT,"Rocket Companies, Inc."
545,1035443,ARE,"Alexandria Real Estate Equities, Inc."
546,1671750,DSCSY,Disco Corporation/Adr
547,1179929,MOH,"Molina Healthcare, Inc."
548,1335258,LYV,"Live Nation Entertainment, Inc."
549,1094285,TDY,Teledyne Technologies Inc
550,943452,WAB,Westinghouse Air Brake Technologies Corp
551,1190723,TS,Tenaris Sa
552,1389170,TRGP,Targa Resources Corp.
553,1679788,COIN,"Coinbase Global, Inc."
554,1618921,WBA,"Walgreens Boots Alliance, Inc."
555,922224,PPL,Ppl Corp
556,100493,TSN,"Tyson Foods, Inc."
557,1033767,UMC,United Microelectronics Corp
558,1397911,LPLA,Lpl Financial Holdings Inc.
559,930157,RTO,Rentokil Initial Plc /Fi
560,35527,FITB,Fifth Third Bancorp
561,1274494,FSLR,"First Solar, Inc."
562,1020569,IRM,Iron Mountain Inc
563,21076,CLX,Clorox Co /De/
564,1126328,PFG,Principal Financial Group Inc
565,1130310,CNP,Centerpoint Energy Inc
566,920148,LH,Laboratory Corp Of America Holdings
567,1736541,NIO,Nio Inc.
568,940944,DRI,Darden Restaurants Inc
569,1837240,SYM,Symbotic Inc.
570,1722380,AIU,Meta Data Ltd
571,1506293,PINS,"Pinterest, Inc."
572,33213,EQT,Eqt Corp
573,859737,HOLX,Hologic Inc
574,84839,ROL,Rollins Inc
575,1567094,CNHI,Cnh Industrial N.V.
576,746515,EXPD,Expeditors International Of Washington Inc
577,910631,KOF,Coca Cola Femsa Sab De Cv
578,740260,VTR,"Ventas, Inc."
579,1048477,BMRN,Biomarin Pharmaceutical Inc
580,51253,IFF,International Flavors & Fragrances Inc
581,731802,ATO,Atmos Energy Corp
582,1439124,EBR,Brazilian Electric Power Co
583,1315098,RBLX,Roblox Corp
584,909037,SQM,Chemical & Mining Co Of Chile Inc
585,711404,COO,"Cooper Companies, Inc."
586,822416,PHM,Pultegroup Inc/Mi/
587,1144519,BG,Bungeltd
588,1823945,OWL,Blue Owl Capital Inc.
589,92380,LUV,Southwest Airlines Co
590,1125259,CUK,Carnival Plc
591,1546066,PBA,Pembina Pipeline Corp
592,1009001,CCJ,Cameco Corp
593,717826,ERIC,Ericsson Lm Telephone Co
594,48898,HUBB,Hubbell Inc
595,1319161,WMG,Warner Music Group Corp.
596,1281761,RF,Regions Financial Corp
597,20286,CINF,Cincinnati Financial Corp
598,1069347,SGSOY,Sgs Societe Generale De Surveillance Holding Sa /Fi
599,811156,CMS,Cms Energy Corp
600,1122411,ASX,"Ase Technology Holding Co., Ltd."
601,1533232,BEP,Brookfield Renewable Partners L.P.
602,52988,J,Jacobs Solutions Inc.
603,857005,PTC,Ptc Inc.
604,1316835,BLDR,"Builders Firstsource, Inc."
605,912595,MAA,Mid America Apartment Communities Inc.
606,1013237,FDS,Factset Research Systems Inc
607,1002047,NTAP,"Netapp, Inc."
608,11544,WRB,Berkley W R Corp
609,1463101,ENPH,"Enphase Energy, Inc."
610,1022671,STLD,Steel Dynamics Inc
